,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
161,Tai Tuivasa,Jairzinho Rozenstruik,7,1,1,31,187.96,190.5,264,0.0,8,0,0,7,4,3.77,0.46,0.0,0.0,0.0,26,36,187.96,198.12,242,1.0,8,0,1,5,0,3.75,0.49,0.0,0.0,0.0,28,1,1,7,0,8
162,Li Jingliang,Carlos Prates,4,1,1,36,182.88,180.34,170,1.0,11,0,0,6,1,4.46,0.42,0.0,1.19,0.41,39,31,185.42,198.12,170,1.0,3,0,3,0,0,4.71,0.57,0.0,0.0,0.0,5,1,3,8,0,3
163,Junior Tafa,Valter Walker,7,1,1,27,190.5,190.5,240,1.0,1,0,0,2,1,3.36,0.49,0.0,0.0,0.0,6,26,198.12,198.12,265,1.0,0,0,0,1,1,1.86,0.52,0.8,4.52,0.75,3,1,0,1,0,0
164,Josh Culibao,Ricardo Ramos,2,1,1,30,177.8,185.42,145,1.0,3,1,0,3,2,3.41,0.44,0.3,0.0,0.0,19,29,175.26,182.88,145,1.0,7,1,0,5,2,3.03,0.36,0.8,2.77,0.61,24,1,2,0,4,2
165,Casey O'Neill,Luana Santos,0,0,1,26,167.64,175.26,125,1.0,4,1,0,2,2,7.89,0.52,0.7,1.45,0.34,15,24,167.64,170.18,125,1.0,3,1,3,0,0,4.28,0.51,1.2,1.62,0.4,5,0,1,2,1,1
166,Jack Jenkins,Herbert Burns,2,1,1,30,170.18,172.72,145,1.0,3,0,0,1,1,4.83,0.6,0.0,2.12,0.69,11,36,175.26,185.42,145,1.0,3,2,0,3,3,1.86,0.36,1.8,2.94,0.34,9,0,2,1,0,1
167,Tom Nolan,Alex Reyes,3,1,1,24,190.5,185.42,155,0.0,2,0,1,1,0,6.68,0.5,0.7,0.0,0.0,3,37,180.34,185.42,155,1.0,0,0,0,2,2,4.46,0.46,0.0,1.5,0.28,2,0,0,2,0,0
168,Song Kenan,Ricky Glenn,4,1,1,34,182.88,180.34,170,1.0,5,0,0,4,1,4.57,0.47,0.0,0.43,0.33,20,35,182.88,177.8,170,0.0,4,0,0,5,2,3.79,0.42,0.4,0.72,0.13,24,0,2,3,3,1
169,Stewart Nicoll,Jesus Aguilar,0,1,1,29,165.1,165.1,125,1.0,0,0,0,0,0,3.02,0.47,0.0,5.66,1.0,0,28,162.56,157.48,125,1.0,3,1,2,1,0,1.46,0.51,1.8,1.75,0.33,8,1,0,0,1,1
170,Marcin Tybura,Serghei Spivac,7,1,0,38,190.5,198.12,249,1.0,12,1,1,7,0,3.57,0.48,0.1,1.42,0.33,48,29,190.5,198.12,260,1.0,7,2,0,4,1,3.51,0.49,0.7,4.63,0.65,21,1,7,4,2,3
171,Damon Jackson,Chepe Mariscal,2,1,1,36,180.34,180.34,155,1.0,6,2,1,4,0,2.9,0.42,1.2,2.34,0.34,27,31,170.18,175.26,145,1.0,3,0,3,0,0,4.75,0.57,0.3,3.09,0.39,8,1,3,1,2,1
172,Danny Barlow,Nikolay Veretennikov,4,1,1,29,187.96,200.66,170,0.0,2,0,2,0,0,5.72,0.5,0.0,0.0,0.0,4,34,185.42,190.5,170,1.0,0,0,0,1,1,3.4,0.59,0.0,0.0,0.0,3,0,0,2,0,0
173,Chris Gutierrez,Quang Le,1,1,1,33,175.26,170.18,135,1.0,8,0,0,3,1,4.72,0.59,0.1,0.26,0.3,33,32,167.64,177.8,135,1.0,0,0,0,0,0,1.07,0.23,0.0,2.0,0.18,0,0,5,3,0,0
174,Yana Santos,Chelsea Chandler,1,0,1,34,167.64,172.72,135,1.0,4,0,0,5,3,4.42,0.58,0.1,0.97,0.53,23,33,172.72,172.72,135,0.0,2,0,1,1,0,3.53,0.45,0.0,0.91,0.6,7,0,4,0,1,1
175,Toshiomi Kazama,Charalampos Grigoriou,1,1,1,27,170.18,175.26,135,1.0,1,0,0,2,2,1.72,0.53,0.6,1.68,0.12,5,32,170.18,170.18,135,1.0,1,0,0,1,1,2.62,0.48,0.0,2.62,0.8,4,0,1,0,0,1
176,Karol Rosa,Pannie Kianzad,1,0,1,29,165.1,170.18,135,1.0,6,0,0,3,1,6.49,0.56,0.0,1.2,0.46,27,32,170.18,167.64,135,1.0,5,0,0,5,2,4.88,0.49,0.1,0.41,0.33,27,0,6,0,5,0
177,Jhonata Diniz,Karl Williams,7,1,1,33,193.04,200.66,254,1.0,2,0,2,0,0,4.09,0.53,0.0,0.0,0.0,3,34,190.5,200.66,235,1.0,4,0,4,0,0,2.68,0.48,0.2,4.2,0.48,12,0,0,2,4,0
178,Youssef Zalal,Jarno Errens,2,1,1,27,177.8,182.88,145,1.0,4,1,1,3,0,2.87,0.49,1.4,2.33,0.34,23,29,180.34,185.42,145,1.0,1,0,1,2,0,3.29,0.44,0.3,0.0,0.0,9,0,3,0,1,0
179,Stephanie Luciano,Talita Alencar,0,0,1,24,167.64,165.1,115,1.0,0,0,0,0,0,5.3,0.48,0.0,0.5,1.0,3,33,154.94,147.32,115,1.0,1,0,1,0,0,2.49,0.28,0.0,2.0,0.13,6,0,0,0,1,0
180,Cory Sandhagen,Umar Nurmagomedov,1,1,0,32,180.34,177.8,135,1.0,10,1,3,3,0,5.02,0.44,0.3,1.19,0.32,39,28,172.72,175.26,135,1.0,5,2,5,0,0,4.46,0.63,0.4,3.98,0.5,10,1,4,5,2,1
181,Shara Magomedov,Michal Oleksiejczuk,5,1,1,30,187.96,185.42,185,1.0,2,0,2,0,0,6.82,0.65,0.0,0.0,0.0,6,29,182.88,187.96,185,0.0,7,0,0,6,2,5.08,0.5,0.0,1.08,0.43,22,0,1,1,1,6
182,Marlon Vera,Deiveson Figueiredo,1,1,1,31,172.72,177.8,135,1.0,15,4,0,8,1,4.27,0.49,0.8,0.51,0.39,66,36,165.1,172.72,135,1.0,12,4,2,3,0,3.01,0.55,1.6,1.68,0.35,41,1,4,7,4,4
183,Tony Ferguson,Michael Chiesa,4,1,1,40,180.34,193.04,170,1.0,15,6,0,8,7,4.91,0.45,0.9,0.39,0.35,58,36,185.42,190.5,170,0.0,11,6,0,7,3,1.86,0.4,1.0,3.35,0.51,40,1,4,5,5,0
