,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
737,Tatsuro Taira,Edgar Chairez,2,1,1,23,170.18,177.8,125,1.0,3,2,3,0,0,3.56,0.65,2.1,2.35,0.47,6,27,170.18,180.34,125,1.0,0,0,0,1,1,2.69,0.48,1.7,0.0,0.0,3,0,1,0,0,0
738,Yazmin Jauregui,Denise Gomes,0,0,1,24,160.02,162.56,115,1.0,2,0,2,0,0,6.26,0.38,0.0,0.0,0.0,5,23,157.48,160.02,115,1.0,2,0,1,1,0,4.48,0.49,0.9,0.88,0.3,8,1,1,1,1,1
739,Jimmy Crute,Alonzo Menifield,6,1,1,27,187.96,187.96,205,1.0,5,2,0,3,2,3.68,0.54,2.0,4.84,0.57,13,35,182.88,193.04,205,1.0,8,1,2,3,0,3.77,0.54,0.2,0.63,0.33,21,1,0,3,1,6
740,Vitor Petrino,Marcin Prachnio,6,1,1,25,187.96,195.58,205,1.0,2,0,2,0,0,2.82,0.45,0.8,3.98,0.66,5,34,190.5,187.96,205,1.0,3,0,1,4,0,5.57,0.54,0.0,0.15,0.2,14,0,1,1,2,1
741,Cameron Saaiman,Terrence Mitchell,1,1,1,22,172.72,170.18,135,0.0,3,0,3,0,0,5.32,0.46,0.7,0.91,0.28,9,33,177.8,187.96,135,1.0,0,0,0,0,0,2.21,0.34,0.0,3.69,0.5,0,0,1,2,0,0
742,Shannon Ross,Jesus Aguilar,0,1,1,34,167.64,167.64,125,1.0,0,0,0,2,2,5.96,0.39,0.0,0.0,0.0,3,27,162.56,157.48,125,1.0,1,1,0,1,1,1.46,0.51,1.8,1.75,0.33,4,1,0,0,0,0
743,Kamuela Kirk,Esteban Ribovics,3,1,1,29,177.8,190.5,155,1.0,1,0,0,2,1,3.22,0.5,1.2,1.5,0.26,8,27,177.8,175.26,155,1.0,1,0,0,1,1,6.2,0.52,0.5,0.93,0.66,4,1,1,0,0,1
744,Sean Strickland,Abus Magomedov,5,1,0,32,185.42,193.04,185,1.0,13,1,1,5,0,6.01,0.42,0.2,0.78,0.64,54,32,187.96,198.12,185,1.0,1,0,1,0,0,2.88,0.44,0.0,2.65,0.77,1,0,9,3,0,1
745,Damir Ismagulov,Grant Dawson,3,1,1,32,177.8,187.96,155,1.0,5,0,0,1,1,3.36,0.42,0.0,1.0,0.28,18,29,177.8,182.88,155,1.0,8,5,8,0,0,2.98,0.52,1.3,3.61,0.38,24,1,5,0,2,1
746,Max Griffin,Michael Morales,4,1,1,37,180.34,193.04,170,1.0,7,0,1,7,0,3.92,0.49,0.3,1.45,0.41,38,24,182.88,200.66,170,1.0,3,0,3,0,0,5.42,0.48,0.0,1.16,0.41,7,1,4,3,1,2
747,Ariane da Silva,Melissa Gatto,0,0,1,29,167.64,170.18,125,1.0,4,1,1,5,0,4.1,0.41,0.3,0.56,0.55,21,27,165.1,175.26,135,1.0,2,0,0,1,1,3.78,0.49,0.5,1.47,0.28,8,0,3,0,0,2
748,Ismael Bonfim,Benoit Saint Denis,3,1,1,27,172.72,180.34,155,1.0,2,0,2,0,0,5.8,0.54,0.0,1.07,0.33,5,27,180.34,185.42,155,0.0,2,1,2,1,0,5.7,0.54,1.5,4.76,0.37,7,1,1,1,0,1
749,Brunno Ferreira,Nursulton Ruziboev,5,1,1,30,177.8,182.88,185,1.0,2,0,2,0,0,4.99,0.54,0.0,0.89,0.16,2,29,195.58,193.04,170,1.0,0,0,0,0,0,2.5,0.43,0.0,0.77,1.0,0,1,0,2,0,0
750,Kevin Lee,Rinat Fakhretdinov,4,1,1,30,175.26,195.58,170,1.0,11,4,0,7,2,3.88,0.42,0.8,3.18,0.43,47,31,182.88,187.96,170,1.0,2,0,2,0,0,4.17,0.54,0.2,4.43,0.46,6,1,4,3,2,0
751,Joanderson Brito,Westin Wilson,2,1,1,28,172.72,182.88,145,1.0,3,1,2,1,0,3.35,0.51,0.6,3.11,0.76,8,34,185.42,185.42,145,0.0,0,0,0,0,0,1.68,0.33,8.4,1.68,0.16,0,0,1,1,0,0
752,Yana Santos,Karol Rosa,2,0,1,33,167.64,172.72,135,1.0,4,0,0,4,2,4.42,0.58,0.1,0.97,0.53,20,28,165.1,170.18,135,1.0,5,0,0,2,1,6.49,0.56,0.0,1.2,0.46,21,1,4,0,5,0
753,Guram Kutateladze,Elves Brener,3,1,1,31,180.34,182.88,155,1.0,1,0,0,1,1,3.95,0.45,0.0,0.77,0.2,6,25,177.8,182.88,155,1.0,1,0,1,0,0,3.99,0.47,0.0,1.23,0.23,3,1,1,0,1,0
754,Ivana Petrovic,Luana Carolina,0,0,1,29,172.72,177.8,125,0.0,0,0,0,0,0,2.19,0.42,1.7,2.83,0.5,0,30,167.64,175.26,125,1.0,4,0,0,3,2,4.81,0.5,0.6,0.34,0.37,19,1,0,0,4,0
755,Alexandr Romanov,Blagoy Ivanov,7,1,1,32,187.96,190.5,262,0.0,5,3,0,2,2,3.94,0.52,0.8,4.17,0.54,13,36,180.34,185.42,250,0.0,3,0,0,4,1,3.25,0.4,0.1,0.69,0.4,23,0,1,1,3,0
756,Josh Emmett,Ilia Topuria,2,1,0,38,167.64,177.8,145,1.0,9,0,0,3,1,4.04,0.36,0.1,0.91,0.37,32,26,170.18,175.26,145,1.0,5,1,5,0,0,4.4,0.46,1.3,1.92,0.56,9,1,6,3,1,3
757,Amanda Ribas,Maycee Barber,0,0,1,29,160.02,167.64,125,1.0,6,2,1,2,0,4.63,0.4,0.7,2.07,0.51,20,25,165.1,165.1,125,1.0,8,0,4,2,0,4.7,0.53,0.1,1.44,0.43,26,1,4,0,4,4
758,David Onama,Gabriel Santos,2,1,1,29,180.34,187.96,145,1.0,2,1,0,2,1,5.04,0.48,0.5,0.67,0.17,9,26,175.26,177.8,145,1.0,0,0,0,1,1,4.46,0.55,1.2,4.34,0.46,3,0,0,1,0,0
759,Brendan Allen,Bruno Silva,5,1,1,27,187.96,190.5,185,1.0,10,6,4,2,0,3.98,0.53,1.4,1.74,0.47,24,33,182.88,187.96,185,1.0,4,0,1,2,0,4.12,0.49,0.0,0.93,0.27,12,0,3,1,0,4
760,Neil Magny,Phil Rowe,4,1,1,35,190.5,203.2,170,1.0,20,2,0,9,1,3.44,0.46,0.2,2.15,0.4,78,32,190.5,203.2,170,1.0,4,0,3,1,0,3.65,0.49,0.3,0.7,0.36,13,0,13,5,0,4
761,Randy Brown,Wellington Turman,4,1,1,32,190.5,198.12,170,1.0,10,3,0,5,1,4.38,0.47,0.6,0.72,0.39,36,26,182.88,182.88,170,1.0,3,1,0,4,1,3.23,0.51,0.8,1.55,0.2,16,0,5,2,2,0
762,Mateusz Rebecki,Loik Radzhabov,3,1,1,30,170.18,167.64,155,0.0,2,1,2,0,0,4.69,0.48,1.0,4.12,0.75,4,32,180.34,175.26,155,1.0,1,0,1,0,0,2.89,0.44,0.0,4.65,0.57,3,0,1,0,1,0
763,Tabatha Ricci,Gillian Robertson,0,0,1,28,154.94,154.94,115,1.0,3,1,3,1,0,4.63,0.38,0.1,2.99,0.38,10,28,165.1,160.02,115,1.0,9,7,2,5,0,2.83,0.48,1.1,2.48,0.42,29,0,2,0,1,1
764,Zhalgas Zhumagulov,Joshua Van,0,1,1,34,162.56,167.64,125,1.0,1,1,0,5,3,5.24,0.43,0.2,1.3,0.19,14,21,165.1,165.1,125,1.0,0,0,0,0,0,8.55,0.52,0.0,1.2,0.5,0,1,0,0,0,0
765,Trevor Peek,Chepe Mariscal,3,1,1,28,175.26,177.8,155,1.0,2,0,2,0,0,4.58,0.54,0.0,1.82,0.53,3,30,170.18,175.26,145,1.0,0,0,0,0,0,4.75,0.57,0.3,3.09,0.39,0,1,0,2,0,0
766,Jamall Emmers,Jack Jenkins,2,1,1,33,177.8,187.96,145,1.0,2,0,1,3,0,5.3,0.48,0.2,1.83,0.4,12,29,170.18,172.72,145,1.0,2,0,2,0,0,4.83,0.6,0.0,2.12,0.69,6,1,2,0,1,1
767,Cody Brundage,Sedriques Dumas,5,1,1,29,182.88,182.88,185,1.0,2,1,0,4,2,1.62,0.54,0.9,2.31,0.5,9,27,187.96,200.66,185,1.0,1,1,0,1,1,2.15,0.48,0.3,1.31,0.35,3,1,0,1,0,0
768,Marvin Vettori,Jared Cannonier,5,1,0,29,182.88,187.96,185,0.0,9,2,1,4,0,4.56,0.45,0.5,1.66,0.45,46,39,180.34,195.58,185,1.0,9,0,1,6,0,4.49,0.5,0.0,0.42,0.46,40,1,7,0,3,6
769,Arman Tsarukyan,Joaquim Silva,3,1,1,26,170.18,182.88,155,1.0,6,0,1,2,0,3.79,0.48,0.0,3.25,0.37,23,34,172.72,175.26,155,0.0,5,0,1,3,0,3.66,0.43,0.8,0.39,0.5,18,0,4,2,2,3
770,Armen Petrosyan,Christian Leroy Duncan,5,1,1,32,190.5,180.34,185,1.0,3,0,1,1,0,5.69,0.52,0.0,0.22,0.33,10,27,187.96,200.66,185,1.0,1,0,1,0,0,4.71,0.62,0.0,0.31,0.14,1,0,2,1,0,1
771,Pat Sabatini,Lucas Almeida,2,1,1,32,172.72,177.8,145,1.0,4,1,0,1,1,2.02,0.59,1.9,3.73,0.42,11,32,180.34,180.34,145,1.0,1,0,1,1,0,4.94,0.43,0.0,0.0,0.0,6,0,3,0,0,1
772,Manuel Torres,Nikolas Motta,3,1,1,28,177.8,185.42,155,1.0,2,0,2,0,0,8.14,0.58,1.6,3.26,0.66,2,30,175.26,177.8,155,1.0,2,0,1,1,0,3.08,0.33,0.0,0.0,0.0,6,0,0,2,1,1
773,Nicolas Dalby,Muslim Salikhov,4,1,1,38,180.34,187.96,170,1.0,5,0,2,3,0,4.06,0.43,0.1,1.01,0.27,28,39,180.34,177.8,170,1.0,6,0,1,2,0,3.32,0.49,0.0,1.12,0.33,19,0,5,0,3,3
774,Jimmy Flick,Alessandro Costa,0,1,1,32,170.18,172.72,125,1.0,2,2,0,1,1,1.94,0.5,4.3,1.55,0.21,5,27,162.56,170.18,125,1.0,1,0,0,1,1,4.14,0.47,0.0,0.27,0.12,6,1,0,0,1,0
775,Kyung Ho Kang,Cristian Quinonez,1,1,1,35,175.26,185.42,135,1.0,7,3,1,3,0,3.13,0.47,0.8,1.97,0.5,29,27,172.72,177.8,135,1.0,2,0,2,0,0,4.19,0.4,0.0,1.37,0.37,4,0,4,0,1,1
776,Carlos Hernandez,Denys Bondar,0,1,1,29,172.72,170.18,125,1.0,2,0,0,1,1,4.11,0.46,0.2,1.08,0.17,7,30,167.64,175.26,125,1.0,0,0,0,1,1,4.59,0.5,0.0,3.99,0.58,1,0,2,0,0,0
777,Tereza Bleda,Gabriella Fernandes,0,0,1,21,175.26,180.34,125,1.0,1,0,0,1,1,3.02,0.53,0.7,1.81,0.27,6,29,167.64,167.64,125,0.0,0,0,0,1,1,3.73,0.49,0.0,0.67,0.22,3,0,1,0,0,0
778,Zac Pauga,Modestas Bukauskas,6,1,1,35,187.96,193.04,205,1.0,1,0,1,1,0,4.46,0.62,0.0,0.38,0.07,5,29,190.5,198.12,205,1.0,2,0,1,3,0,3.21,0.42,0.2,0.38,0.66,10,1,1,0,1,1
779,Amanda Nunes,Irene Aldana,1,0,0,35,172.72,175.26,135,1.0,16,3,1,3,0,4.55,0.51,0.7,2.73,0.54,45,35,175.26,172.72,135,1.0,7,1,2,4,0,5.24,0.4,0.2,0.16,0.5,31,0,5,8,3,3
780,Charles Oliveira,Beneil Dariush,3,1,1,33,177.8,187.96,155,1.0,21,16,0,9,1,3.39,0.53,2.8,2.17,0.4,59,34,177.8,182.88,155,0.0,16,5,8,4,0,3.78,0.48,0.9,1.9,0.34,45,0,2,3,8,3
781,Mike Malott,Adam Fugitt,4,1,1,31,185.42,185.42,170,1.0,3,2,3,0,0,3.83,0.46,1.0,3.04,0.6,3,34,185.42,195.58,170,0.0,1,0,1,1,0,4.72,0.45,0.0,2.04,0.29,4,0,0,1,0,1
782,Dan Ige,Nate Landwehr,2,1,1,31,170.18,180.34,145,1.0,9,2,1,5,0,3.7,0.45,0.3,0.99,0.26,39,35,175.26,182.88,145,1.0,4,2,3,2,0,6.25,0.46,1.0,1.0,0.41,13,0,4,3,2,0
783,Marc-Andre Barriault,Eryk Anders,5,1,1,33,185.42,187.96,185,1.0,4,1,1,5,0,6.12,0.47,0.1,0.21,0.25,24,36,185.42,190.5,185,0.0,7,0,1,7,0,3.41,0.47,0.1,1.79,0.26,38,0,1,2,3,4
784,Miranda Maverick,Jasmine Jasudavicius,0,0,1,25,160.02,165.1,125,0.0,4,1,2,2,0,3.59,0.45,0.3,2.43,0.45,15,34,170.18,172.72,125,1.0,3,0,1,1,0,3.79,0.45,0.5,2.39,0.41,12,1,2,1,3,0
785,Aiemann Zahabi,Aoriqileng,1,1,1,35,172.72,172.72,135,1.0,3,0,2,2,0,3.43,0.43,0.0,0.2,0.16,13,29,170.18,175.26,135,1.0,2,0,2,2,0,5.31,0.5,0.0,1.45,0.46,10,0,2,1,1,1
786,Kyle Nelson,Blake Bilder,2,1,1,32,180.34,180.34,145,1.0,1,0,0,4,2,3.65,0.45,0.6,1.1,0.2,15,32,172.72,172.72,145,1.0,2,1,2,0,0,3.81,0.48,0.6,0.31,0.07,4,0,0,1,1,0
787,David Dvorak,Steve Erceg,0,1,1,31,165.1,172.72,125,1.0,3,1,0,2,2,3.48,0.43,0.2,0.58,0.3,13,27,172.72,172.72,125,1.0,0,0,0,0,0,4.37,0.48,0.5,1.16,0.26,0,1,2,0,0,0
788,Diana Belbita,Maria Oliveira,0,0,1,26,170.18,172.72,115,1.0,1,0,0,3,1,6.54,0.42,0.0,0.91,0.62,10,26,167.64,175.26,115,1.0,1,0,0,3,1,5.03,0.38,0.0,0.95,0.44,10,0,1,0,1,0
789,Kai Kara-France,Amir Albazi,0,1,0,30,162.56,175.26,125,1.0,7,0,0,3,1,4.56,0.39,0.0,0.61,0.33,25,29,165.1,172.72,125,1.0,4,2,4,0,0,2.8,0.39,0.7,1.71,0.33,8,1,5,2,1,1
790,Alex Caceres,Daniel Pineda,2,1,1,34,177.8,185.42,145,0.0,15,4,1,11,0,4.21,0.49,0.7,0.54,0.68,68,37,170.18,175.26,145,1.0,5,4,1,5,0,2.96,0.48,1.5,1.61,0.24,21,0,9,2,0,1
791,Jim Miller,Jesse Butler,3,1,1,39,172.72,180.34,155,0.0,24,11,0,16,1,2.99,0.42,1.7,1.53,0.44,92,31,177.8,185.42,135,1.0,0,0,0,0,0,2.02,0.34,0.0,0.0,0.0,0,0,8,5,0,0
792,Tim Elliott,Victor Altamirano,0,1,1,36,170.18,167.64,125,0.0,7,1,1,10,0,3.39,0.44,1.0,3.73,0.47,45,32,172.72,177.8,125,1.0,3,0,2,1,0,4.55,0.57,0.0,3.43,0.39,10,0,6,0,2,1
793,Karine Silva,Ketlen Souza,0,0,1,29,165.1,170.18,125,1.0,2,2,2,0,0,2.67,0.35,2.2,3.59,0.72,3,28,160.02,160.02,115,1.0,0,0,0,0,0,4.78,0.68,0.0,0.9,0.5,0,0,0,0,0,0
794,Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,4,1,1,33,180.34,182.88,170,1.0,2,0,2,1,0,2.78,0.53,0.0,1.25,0.22,7,36,180.34,185.42,170,1.0,9,1,1,3,0,4.3,0.42,0.5,0.71,0.2,31,1,2,0,5,3
795,Daniel Santos,Johnny Munoz,1,1,1,28,170.18,170.18,135,1.0,1,0,1,1,0,4.26,0.37,0.0,1.9,0.5,5,30,175.26,180.34,135,1.0,2,1,1,2,0,2.44,0.36,1.8,2.4,0.25,9,0,0,1,1,0
796,Andrei Arlovski,Don'Tale Mayes,7,1,1,44,190.5,195.58,240,1.0,25,2,0,19,1,3.82,0.45,0.2,0.37,0.35,98,31,198.12,205.74,260,1.0,4,0,0,4,1,3.51,0.43,0.0,0.65,0.38,23,1,12,11,1,3
797,John Castaneda,Muin Gafurov,1,1,1,31,167.64,180.34,135,1.0,3,1,0,2,1,4.67,0.5,0.1,1.79,0.35,12,27,170.18,172.72,135,0.0,0,0,0,1,1,3.03,0.47,0.0,1.95,0.27,3,0,1,1,0,0
798,Jamie Mullarkey,Muhammad Naimov,3,1,1,28,182.88,187.96,155,1.0,4,0,2,3,0,4.39,0.46,0.1,2.31,0.34,17,28,175.26,177.8,145,1.0,0,0,0,1,1,3.18,0.43,0.0,1.8,0.3,3,1,2,2,0,0
799,Elise Reed,Jinh Yu Frey,0,0,1,30,160.02,160.02,115,1.0,2,0,0,3,1,2.66,0.49,0.0,0.58,0.6,12,38,160.02,165.1,115,0.0,2,0,0,4,2,2.97,0.43,0.3,1.02,0.36,16,0,2,0,2,0
800,Da'Mon Blackshear,Luan Lacerda,1,1,1,28,177.8,182.88,135,1.0,0,0,0,1,1,4.28,0.47,0.8,2.33,0.37,6,30,170.18,180.34,135,1.0,0,0,0,1,1,4.52,0.44,0.6,1.26,0.25,3,0,0,0,0,0
801,Philipe Lins,Maxim Grishin,6,1,1,37,187.96,198.12,205,1.0,2,0,2,2,0,3.8,0.49,0.0,1.65,0.33,8,39,190.5,198.12,205,1.0,2,0,1,2,0,3.26,0.52,0.0,0.21,0.16,11,0,1,1,1,1
802,Mackenzie Dern,Angela Hill,0,0,0,30,162.56,160.02,115,1.0,7,4,0,3,1,3.43,0.39,1.2,0.88,0.16,26,38,160.02,162.56,115,1.0,10,0,2,12,0,5.46,0.49,0.1,0.76,0.32,63,0,3,0,8,2
803,Edmen Shahbazyan,Anthony Hernandez,5,1,1,25,190.5,190.5,185,1.0,6,1,1,3,0,3.77,0.5,0.5,2.01,0.38,17,29,182.88,190.5,185,1.0,4,3,3,2,0,4.3,0.59,3.0,6.62,0.49,14,1,1,4,1,0
804,Emily Ducote,Loopy Godinez,2,1,1,29,157.48,160.02,115,1.0,1,0,0,1,1,7.45,0.52,0.0,0.2,0.14,6,29,157.48,154.94,115,1.0,4,1,1,3,0,4.16,0.48,1.0,2.95,0.47,19,1,1,0,3,0
805,Andre Fialho,Joaquin Buckley,4,1,1,29,182.88,187.96,170,1.0,2,0,0,3,2,3.3,0.41,0.0,0.25,1.0,10,29,177.8,193.04,170,0.0,5,0,0,4,2,4.25,0.36,0.0,1.69,0.44,21,1,0,2,1,4
806,Diego Ferreira,Michael Johnson,3,1,1,38,175.26,187.96,155,1.0,8,2,0,5,3,5.04,0.39,0.6,0.96,0.3,28,36,177.8,185.42,155,0.0,13,0,1,14,0,4.27,0.39,0.0,0.62,0.41,69,0,3,3,8,5
807,Maheshate,Viacheslav Borshchev,3,1,1,23,182.88,180.34,155,1.0,2,0,0,1,1,3.9,0.28,0.0,0.0,0.0,7,31,180.34,175.26,155,1.0,2,0,0,2,2,5.4,0.53,0.0,0.0,0.0,9,1,1,1,0,2
808,Karolina Kowalkiewicz,Vanessa Demopoulos,0,0,1,37,160.02,162.56,115,1.0,7,1,2,7,0,5.71,0.43,0.2,0.34,0.23,37,34,157.48,149.86,115,1.0,3,1,3,2,0,3.98,0.41,0.6,0.42,0.11,13,0,6,0,2,0
809,Orion Cosce,Gilbert Urbina,4,1,1,28,180.34,180.34,170,1.0,2,0,1,1,0,2.77,0.53,0.0,1.92,0.4,8,27,190.5,190.5,170,1.0,0,0,0,1,1,5.61,0.57,0.8,3.01,0.44,2,1,1,1,0,0
810,Ilir Latifi,Rodrigo Nascimento,7,1,1,40,177.8,185.42,230,1.0,9,2,2,6,0,2.05,0.45,0.3,2.11,0.35,31,30,187.96,203.2,246,1.0,3,2,1,1,0,4.05,0.49,0.6,1.23,0.37,9,1,4,3,1,0
811,Chase Hooper,Nick Fiore,3,1,1,23,185.42,187.96,155,0.0,4,1,0,3,1,5.08,0.52,2.3,1.45,0.24,17,25,177.8,182.88,155,1.0,0,0,0,1,1,2.83,0.46,0.0,2.5,0.45,3,0,1,2,0,0
812,Natalia Silva,Victoria Leonardo,0,0,1,26,162.56,165.1,125,0.0,2,0,2,0,0,4.53,0.44,0.0,0.5,0.28,6,33,165.1,162.56,125,1.0,2,0,1,2,0,3.22,0.38,0.0,1.57,0.27,9,0,1,1,1,1
813,Takashi Sato,Themba Gorimbo,4,1,1,32,177.8,185.42,170,0.0,2,0,0,4,3,2.21,0.41,0.0,0.76,0.37,12,32,185.42,195.58,170,1.0,0,0,0,1,1,2.53,0.69,0.0,4.04,0.58,2,1,0,2,0,0
814,Jairzinho Rozenstruik,Jailton Almeida,7,1,0,35,187.96,198.12,242,1.0,7,0,1,4,0,3.75,0.49,0.0,0.0,0.0,23,31,190.5,200.66,205,1.0,5,3,5,0,0,2.46,0.64,2.6,6.85,0.59,7,1,0,7,0,2
815,Anthony Smith,Johnny Walker,6,1,1,34,193.04,193.04,205,1.0,13,5,0,9,1,3.24,0.49,0.6,0.46,0.26,50,31,198.12,208.28,205,1.0,7,1,2,4,0,3.87,0.53,0.9,0.45,1.0,19,1,1,7,1,5
816,Daniel Rodriguez,Ian Machado Garry,4,1,1,36,185.42,187.96,170,0.0,8,1,0,2,1,7.42,0.49,0.1,0.55,0.5,25,25,190.5,187.96,170,1.0,4,0,4,0,0,5.5,0.55,0.3,0.77,0.55,10,1,5,2,2,2
817,Carlos Ulberg,Ihor Potieria,6,1,1,32,193.04,195.58,205,1.0,4,0,3,1,0,7.41,0.59,0.3,0.95,0.75,8,26,190.5,190.5,185,0.0,2,0,1,1,0,5.13,0.5,0.0,0.0,0.0,4,0,1,3,0,2
818,Tim Means,Alex Morono,4,1,1,39,187.96,190.5,170,1.0,14,2,0,11,2,5.08,0.49,0.2,1.16,0.4,59,32,180.34,182.88,170,1.0,11,1,0,5,1,4.96,0.41,0.4,0.36,0.26,42,1,7,5,8,2
819,Matt Brown,Court McGee,4,1,1,42,182.88,190.5,170,1.0,16,2,0,13,1,3.76,0.55,1.3,1.68,0.46,66,38,180.34,190.5,170,1.0,10,2,0,10,1,4.6,0.37,0.4,1.84,0.25,55,0,2,12,8,0
820,Karl Williams,Chase Sherman,7,1,1,33,190.5,200.66,235,1.0,2,0,2,0,0,2.68,0.48,0.2,4.2,0.48,6,33,193.04,198.12,250,1.0,4,0,0,10,1,6.04,0.45,0.0,0.09,0.5,33,0,2,0,1,3
821,Cody Stamann,Douglas Silva de Andrade,2,1,1,33,167.64,162.56,135,1.0,7,0,2,4,0,4.35,0.47,0.0,2.22,0.37,31,37,170.18,172.72,135,1.0,6,1,0,5,1,3.54,0.38,0.2,0.55,0.42,28,1,6,1,3,2
822,Ji Yeon Kim,Mandy Bohm,0,0,1,33,170.18,182.88,125,1.0,3,0,0,6,4,5.37,0.36,0.1,0.0,0.0,26,33,170.18,180.34,125,1.0,0,0,0,2,2,2.51,0.45,0.7,0.72,0.18,6,1,2,1,0,0
823,Bryan Battle,Gabe Green,4,1,1,28,185.42,195.58,170,1.0,3,1,0,1,1,4.52,0.51,0.6,1.12,0.28,9,30,177.8,185.42,155,1.0,2,0,0,2,1,6.28,0.45,0.3,0.83,0.5,11,0,1,1,1,1
824,Jessica-Rose Clark,Tainara Lisboa,1,0,1,35,165.1,162.56,135,1.0,4,0,0,4,2,3.73,0.51,0.3,1.66,0.42,20,32,170.18,170.18,135,1.0,0,0,0,0,0,2.05,0.5,0.5,2.05,0.4,0,1,3,1,0,0
825,Aljamain Sterling,Henry Cejudo,1,1,0,33,170.18,180.34,145,1.0,14,4,8,3,0,4.61,0.52,0.7,2.31,0.27,47,36,162.56,162.56,135,1.0,10,0,6,2,0,3.77,0.46,0.2,1.99,0.32,32,0,7,2,6,4
826,Belal Muhammad,Gilbert Burns,4,1,1,34,180.34,182.88,170,1.0,13,1,8,3,0,4.39,0.43,0.2,2.28,0.39,49,36,177.8,180.34,170,1.0,15,5,2,5,0,3.29,0.48,0.5,2.24,0.38,49,0,10,2,7,3
827,Jessica Andrade,Yan Xiaonan,0,0,1,31,154.94,157.48,125,1.0,15,3,0,8,1,6.62,0.5,0.3,2.37,0.55,49,33,165.1,160.02,115,1.0,7,0,1,2,0,4.97,0.44,0.0,1.0,0.73,28,1,7,5,7,0
828,Movsar Evloev,Diego Lopes,2,1,1,29,170.18,182.88,145,1.0,6,0,6,0,0,4.43,0.48,0.2,4.75,0.46,18,28,180.34,182.88,145,1.0,0,0,0,1,1,3.24,0.55,3.7,0.33,0.25,3,0,6,0,0,0
829,Kron Gracie,Charles Jourdain,2,1,1,34,175.26,177.8,145,0.0,1,1,0,1,1,3.74,0.44,0.5,0.47,0.25,4,27,175.26,175.26,145,1.0,4,1,0,5,2,5.48,0.48,0.5,0.35,0.23,27,1,0,0,1,2
830,Drew Dober,Matt Frevola,3,1,1,34,172.72,177.8,155,0.0,13,1,3,7,0,4.39,0.4,0.1,0.67,0.17,42,32,175.26,180.34,155,1.0,5,1,2,3,0,3.71,0.42,0.9,2.59,0.4,18,1,3,9,2,2
831,Kennedy Nzechukwu,Devin Clark,6,1,1,30,195.58,210.82,205,0.0,7,0,2,3,0,5.13,0.45,0.2,0.6,0.45,24,33,182.88,190.5,205,1.0,8,0,1,7,0,3.03,0.54,0.1,2.17,0.32,37,0,2,5,7,1
832,Khaos Williams,Rolando Bedoya,4,1,1,29,182.88,195.58,170,1.0,4,0,0,2,1,5.81,0.39,0.0,0.0,0.0,14,26,180.34,187.96,155,1.0,0,0,0,0,0,7.29,0.49,0.0,0.0,0.0,0,0,1,3,0,0
833,Marina Rodriguez,Virna Jandiroba,0,0,1,36,167.64,165.1,115,1.0,7,0,0,2,1,4.82,0.47,0.2,0.23,0.42,34,34,160.02,162.56,115,1.0,4,2,1,3,0,2.12,0.38,1.7,2.29,0.34,17,1,5,2,1,1
834,Braxton Smith,Parker Porter,7,1,1,33,180.34,182.88,257,1.0,0,0,0,0,0,6.46,0.48,0.0,0.0,0.0,0,38,182.88,190.5,265,1.0,3,0,0,3,2,6.55,0.5,0.5,1.35,0.26,12,1,0,0,3,0
835,Phil Hawes,Ikram Aliskerov,5,1,1,34,182.88,195.58,185,1.0,5,0,0,3,1,5.33,0.59,0.2,2.11,0.34,14,30,182.88,193.04,185,0.0,1,1,1,0,0,7.03,0.6,1.8,1.82,0.33,1,1,2,3,0,0
836,Joseph Holmes,Claudio Ribeiro,5,1,1,27,193.04,203.2,185,1.0,2,2,0,2,1,2.88,0.53,0.8,1.49,0.4,8,30,185.42,195.58,185,1.0,1,0,0,1,1,3.59,0.51,0.0,0.56,0.5,3,1,0,0,0,1
837,Song Yadong,Ricky Simon,1,1,0,25,172.72,170.18,135,1.0,8,1,0,2,1,4.49,0.43,0.2,0.66,0.4,26,30,167.64,175.26,135,1.0,9,3,5,2,0,2.99,0.43,0.3,5.2,0.44,28,0,3,4,5,1
838,Caio Borralho,Michal Oleksiejczuk,5,1,1,30,185.42,190.5,185,0.0,5,0,5,0,0,3.61,0.6,0.5,1.56,0.6,13,28,182.88,187.96,185,0.0,6,0,2,3,0,5.08,0.5,0.0,1.08,0.43,17,0,4,1,1,5
