,WeightClass,RedStance,BlueStance,Age_diff,Height_diff,Reach_diff,Weight_diff,Red_wins_loss_diff,Blue_wins_loss_diff,Red_Blue_Wins_diff,Red_Blue_Loss_diff,Red_Blue_wins_loss_diff,Red_Blue_curr_streak_diff,Red_Blue_SignStrikAvg_diff,Red_Blue_SuccTDAvg_diff,Red_Blue_AvgSubAtt_diff
877,5,1.0,0.0,4,2.5400000000000205,10.159999999999997,15,4,3,-6,-7,1,3.0,1.3667999999999998,-0.37400000000000005,-0.1
878,0,1.0,1.0,7,2.5400000000000205,0.0,0,2,3,5,6,-1,-5.0,0.1452,-0.2805000000000001,0.39999999999999997
879,5,0.0,1.0,9,-2.5400000000000205,5.0800000000000125,0,3,1,8,6,2,-1.0,-0.1166999999999998,0.17590000000000006,0.7000000000000001
880,0,1.0,1.0,6,5.0800000000000125,7.6200000000000045,0,1,0,3,2,1,-3.0,-0.32099999999999973,-0.5945,-0.19999999999999996
881,2,1.0,1.0,-8,10.159999999999997,7.6200000000000045,0,2,0,2,0,2,1.0,1.8154000000000003,-0.612,-0.4
882,2,1.0,0.0,-2,-10.159999999999997,-15.240000000000009,0,2,1,0,-1,1,2.0,-1.9225000000000003,0.6469999999999998,-0.39999999999999997
883,0,1.0,1.0,-3,-5.079999999999984,10.159999999999997,0,0,-2,-2,-4,2,1.0,-0.2602,0.08540000000000003,5.4
884,1,1.0,1.0,0,-7.6200000000000045,0.0,0,8,5,6,3,3,3.0,-0.11649999999999983,-0.18189999999999995,0.5
885,1,0.0,1.0,8,5.0800000000000125,2.539999999999992,0,1,1,3,3,0,0.0,-1.3115999999999997,-0.2531,0.0
886,2,1.0,1.0,6,-2.5400000000000205,5.079999999999984,0,1,1,1,1,0,0.0,1.4468,0.12619999999999998,1.0
887,0,1.0,1.0,10,2.539999999999992,10.159999999999997,0,1,5,-2,2,-4,-4.0,-0.32440000000000024,0.3158000000000001,0.5
888,5,1.0,1.0,0,10.159999999999997,12.699999999999989,-15,2,1,1,0,1,0.0,1.2988999999999997,-0.5712999999999999,-0.39999999999999997
889,2,1.0,1.0,9,-2.539999999999992,-7.6200000000000045,0,-1,2,1,4,-3,0.0,-0.2996000000000003,-0.4892,1.3
890,2,1.0,1.0,5,-2.539999999999992,-7.619999999999976,0,-2,-1,3,4,-1,0.0,-0.9725000000000006,0.3692,0.7
891,4,1.0,1.0,3,2.539999999999992,7.6200000000000045,0,2,0,5,3,2,0.0,0.013500000000000068,-0.6758,-2.1
892,0,1.0,1.0,5,0.0,-5.0800000000000125,0,0,-3,2,-1,3,2.0,1.2092999999999996,-1.16,-1.0
893,0,1.0,0.0,6,2.539999999999992,0.0,-10,1,1,1,1,0,0.0,0.23709999999999942,1.2981,0.0
894,4,0.0,1.0,-4,5.0800000000000125,-5.079999999999984,0,10,14,-3,1,-4,11.0,-0.8468000000000002,-0.819,0.30000000000000004
895,3,1.0,1.0,4,7.6200000000000045,-2.539999999999992,0,2,5,0,3,-3,-7.0,1.5011999999999994,-0.0885,0.0
896,4,1.0,0.0,1,-2.539999999999992,0.0,-15,4,2,0,-2,2,2.0,-1.4455999999999996,1.0924,0.7
897,0,1.0,1.0,9,-5.079999999999984,-12.699999999999989,0,0,4,1,5,-4,-3.0,-2.4498000000000006,-0.3796,-0.6
898,5,0.0,1.0,-5,-5.0800000000000125,-5.079999999999984,0,4,5,2,3,-1,-5.0,0.7374,0.243,-0.6000000000000001
899,2,1.0,0.0,-6,-5.0800000000000125,-2.539999999999992,0,4,1,-2,-5,3,0.0,1.5897999999999999,-0.5247999999999997,-0.40000000000000013
900,3,1.0,1.0,-8,-2.539999999999992,-5.079999999999984,0,0,1,-3,-2,-1,3.0,0.8768,1.0030000000000001,0.0
901,3,1.0,1.0,-1,15.240000000000009,25.400000000000006,15,1,0,1,0,1,1.0,-0.3094,1.48,3.9
902,0,1.0,1.0,-7,0.0,5.0800000000000125,0,3,1,2,0,2,2.0,-0.24309999999999987,1.5847999999999998,-1.8
903,2,1.0,1.0,5,0.0,7.619999999999976,0,3,0,3,0,3,3.0,0.25239999999999974,-1.1696,-0.6
904,5,1.0,1.0,-1,2.5400000000000205,12.699999999999989,0,0,1,-4,-3,-1,-1.0,-0.23760000000000003,-0.0718,0.0
905,0,0.0,1.0,-6,0.0,-2.539999999999992,0,1,-1,0,-2,2,2.0,0.5293999999999999,-0.59,0.3999999999999999
906,0,1.0,1.0,8,0.0,-10.159999999999997,0,-1,2,3,6,-3,-2.0,1.2160000000000002,0.7102,-0.3
907,0,1.0,0.0,-1,7.6200000000000045,5.079999999999984,0,1,-3,0,-4,4,2.0,0.08099999999999996,0.36679999999999996,1.5
908,1,1.0,1.0,-2,2.5400000000000205,-2.539999999999992,0,5,6,0,1,-1,-10.0,0.8792000000000002,-1.4325,-0.19999999999999998
909,7,1.0,0.0,2,12.699999999999989,12.699999999999989,-12,5,4,4,3,1,2.0,0.8752999999999997,-1.9683000000000002,-0.6000000000000001
910,2,1.0,1.0,0,-5.0800000000000125,-5.079999999999984,0,3,5,2,4,-2,0.0,1.1090000000000002,0.4012,-0.10000000000000009
911,1,1.0,0.0,2,0.0,0.0,0,5,5,-2,-2,0,0.0,-0.5561000000000003,0.018100000000000005,1.2999999999999998
912,1,1.0,0.0,-14,7.6200000000000045,2.539999999999992,0,3,-1,1,-3,4,1.0,0.8392000000000002,-0.2585000000000002,0.6
913,6,1.0,1.0,-1,-5.079999999999984,-2.539999999999992,0,1,0,0,-1,1,2.0,0.23999999999999977,0.5850000000000004,0.8
914,7,1.0,1.0,3,-2.539999999999992,2.539999999999992,-1,1,0,0,-1,1,2.0,-1.1636000000000002,1.786,-0.3
